uid,bid,click,buy,fav,cart,diff_day,normalization
10944750,26619,1,0,0,0,17,1.0
10944750,5185,1,0,0,0,5,1.0
10944750,23662,2,0,0,0,26,1.0
10944750,19673,6,1,0,0,10,1.0
10944750,13779,1,0,0,0,7,0.14285714285714285
10944750,21501,4,0,0,0,8,0.5714285714285714
10944750,11465,1,0,0,0,17,0.14285714285714285
10944750,25687,8,0,0,0,13,1.0
10944750,23564,1,0,0,0,13,0.125
10944750,29547,3,0,0,0,6,0.375
10944750,12055,4,0,0,0,13,0.5
10944750,19414,1,0,0,0,17,0.125
10944750,6294,3,0,0,0,2,0.375
10944750,10970,2,0,0,0,12,0.25
10944750,8719,1,0,0,0,12,0.125
10944750,21672,1,0,0,0,22,0.125
10944750,13592,3,0,0,0,13,0.375
10944750,11776,1,0,0,0,21,0.125
10944750,6918,3,0,0,0,5,0.375
10944750,25372,11,2,0,0,3,1.0
10944750,679,1,0,0,0,21,0.07692307692307693
10944750,24359,1,0,0,0,11,0.07692307692307693
10944750,12599,1,0,0,0,12,0.07692307692307693
12028500,20386,1,0,0,0,3,0.07692307692307693
12028500,15935,1,0,0,0,7,0.07692307692307693
12028500,27014,1,0,0,0,12,0.07692307692307693
12028500,9922,2,0,0,0,7,0.15384615384615385
12028500,20796,1,0,0,0,9,0.07692307692307693
12028500,16460,1,0,0,0,9,0.07692307692307693
12028500,5254,1,0,0,0,28,0.07692307692307693
12028500,396,1,0,0,0,19,0.07692307692307693
12028500,13390,6,1,0,0,29,0.5384615384615384
12028500,5639,1,0,0,0,18,0.07692307692307693
12028500,22484,1,0,0,0,1,0.07692307692307693
12028500,15311,3,1,0,0,6,0.3076923076923077
12028500,14821,1,0,0,0,7,0.07692307692307693
12028500,13747,1,0,0,0,5,0.07692307692307693
12028500,25260,3,0,0,0,16,0.23076923076923078
12028500,17024,2,0,0,0,20,0.15384615384615385
12154500,3254,1,0,0,0,4,0.07692307692307693
12154500,12747,1,0,0,0,28,0.07692307692307693
12154500,3536,1,0,0,0,16,0.07692307692307693
12154500,28621,17,0,0,0,11,1.0
12154500,14894,3,0,0,0,21,0.17647058823529413
12154500,19973,1,0,0,0,20,0.058823529411764705
12154500,155,1,0,0,0,4,0.058823529411764705
12154500,11922,2,0,0,0,15,0.11764705882352941
12154500,4571,1,0,0,0,20,0.058823529411764705
12154500,26114,1,0,0,0,17,0.058823529411764705
12154500,12870,1,0,0,0,13,0.058823529411764705
12154500,23556,2,0,0,0,18,0.11764705882352941
12154500,21294,2,0,0,0,13,0.11764705882352941
12154500,2351,2,0,0,0,20,0.11764705882352941
12154500,21657,2,0,0,0,14,0.11764705882352941
12154500,14261,1,0,0,0,1,0.058823529411764705
12154500,21308,1,0,0,0,13,0.058823529411764705
12154500,2504,1,0,0,0,15,0.058823529411764705
12154500,13226,2,1,0,0,15,0.17647058823529413
12154500,24157,1,0,0,0,26,0.058823529411764705
12154500,3627,3,0,0,0,3,0.17647058823529413
12154500,2382,1,0,0,0,15,0.058823529411764705
12154500,17718,1,0,0,0,13,0.058823529411764705
12154500,12722,1,0,0,0,17,0.058823529411764705
12154500,16540,5,0,0,0,21,0.29411764705882354
12154500,17640,15,4,0,0,17,1.0
12154500,10718,1,0,0,0,4,0.05263157894736842
12154500,15315,2,0,0,0,11,0.10526315789473684
12154500,20411,12,0,0,0,3,0.631578947368421
12154500,17214,1,1,0,0,13,0.10526315789473684
12154500,28924,1,0,0,0,23,0.05263157894736842
12154500,28347,1,0,0,0,26,0.05263157894736842
12154500,18947,1,0,0,0,13,0.05263157894736842
12154500,20180,1,0,0,0,14,0.05263157894736842
12154500,251,1,0,0,0,3,0.05263157894736842
12154500,7611,4,1,0,0,13,0.2631578947368421
12154500,12699,1,0,0,0,21,0.05263157894736842
12154500,23623,1,0,0,0,17,0.05263157894736842
12154500,26318,2,0,0,0,25,0.10526315789473684
12154500,11767,1,0,0,0,2,0.05263157894736842
12154500,949,3,0,0,0,11,0.15789473684210525
12154500,11773,2,0,0,0,7,0.10526315789473684
12154500,1073,1,0,0,0,24,0.05263157894736842
12154500,27446,2,0,0,0,13,0.10526315789473684
12154500,8792,1,0,0,0,22,0.05263157894736842
12154500,27435,1,0,0,0,4,0.05263157894736842
12154500,18027,1,0,0,0,22,0.05263157894736842
12154500,20412,1,0,0,0,4,0.05263157894736842
12154500,7868,35,8,0,0,16,1.0
12154500,29374,2,0,0,0,21,0.046511627906976744
