0Variable 08190001-001 CMUN-250AC15-UA4-F
0Variable 08190001-002 CKTBM2501594N1
0Variable 08190003-001 CMUN-1500AC4-UA4-F
0Variable 08190003-002 CKTBM1500485N1
0Variable 08190006-001 CMUN-1500CC9-UA4-F
0Variable 08190006-002 CKTBM1500994N1
0Variable 08190010-001 CMUN-500BC12-UA4-F
0Variable 08190010-002 CKTBM5001294N1
0Variable 08190044-001 CMUN-1000CC10-UA4-F
0Variable 08190044-002 CKTBM10001091N1
0Variable 08190049-001 CKTBM500-8-57N1M3
0Variable 08190049-002 CKTBM500857N1
0Variable 08190043-001 CKTBM500-17.5-170M3
0Variable 08190043-002 CKTBM50017.5170N1
0Variable 08190042-002 CKTBM2502594N1
0Variable 08190112 CKTBM303437
1Trimmer 08190007-001 CTMN-15DAC30-VK
1Trimmer 08190007-002 CKTBT151821
1Trimmer 08190047-001 CTMN-15DAC34-VK
1Trimmer 08190047-002 CKTBT1520.421
1Trimmer 08190020-001 CTMN-21DAC30-VK
1Trimmer 08190020-002 CKTBT211828
1Trimmer 08190005-001 CTMN-30DAC30-VK
1Trimmer 08190005-002 CKTBT301837
1Trimmer 08190002-001 CTMN-50DAC30-VK
1Trimmer 08190002-002 CKTBT501859
1Trimmer 08190012-001 CTMN-60DAC30-VK
1Trimmer 08190012-002 CKTBT601870
1Trimmer 08190023-004 CTMN-85DAC30-VK
1Trimmer 08190023-002 CKTBT851897
1Trimmer 08190015-001 CTMN-100DAC30-VK
1Trimmer 08190015-002 CKTBT10018113
1Trimmer 08190026-001 CTMN-156EAC25-WL
1Trimmer 08190026-002 CKTBT15615150
1Trimmer 08190004-001 CTMN-270EAC25-WL
1Trimmer 08190004-002 CKTBT27015175
1Trimmer 08190032-001 CTMN-440EAC25-WL
1Trimmer 08190032-002 CKTBT44015156
2Fixed 08190019-001 CFMN-250AAC15-DE-G
2Fixed 08190019-002 CKT25010134
2Fixed 08190117-001 CFMN-250AAC15-DE-E
2Fixed 08190117-002 CKT25010134A
2Fixed 08190008-001 CFMN-750AAC10-DE-G
2Fixed 08190008-002 CKT7507116
2Fixed 08190013-001 CFMN-1000AAC8-DE-G
2Fixed 08190013-002 CKT10005.6115
2Fixed 08190014-001 CFMN-1250AAC5-DE-G
2Fixed 08190014-002 CKT12505112
2Fixed 08190041-001 CFMN-2500BBC8-DE-G
2Fixed 08190041-002 CKT25004.8128
2Fixed 08190009-001 CFMN-4000BAC5-DE-G
2Fixed 08190009-002 CKT40003121
2Fixed 08190123 CKT1801097A
2Fixed 08190120 CKT15025172A
2Fixed 08190119 CKT751041A
2Fixed 08190121 CKT503590(Ⅰ)A
3Matrix 08190045-001 CVBA-500BC8-BEA-L
3Matrix 08190017-001 CVMX-500AC-25-BGJL-J
3Matrix 08190016-001 CVUN-250CC-25-BGJL
4Log 0 0
5Unknown x x
